,Section,Code,Main_code,Sup_code,Sub_code,Description
859,C,24.33   ,24,33, ,Производство профилей с помощью холодной штамповки или гибки                                                                                                                                                                                                                                                                                                                                                                                                                                                        
860,C,24.34   ,24,34, ,Производство проволоки методом холодного волочения                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
861,C,24.4    ,24,4 , ,"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива                                                                                                                                                                                                                                                                                                                                                                                                                 "
862,C,24.41   ,24,41, ,Производство драгоценных металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
863,C,24.42   ,24,42, ,Производство алюминия                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
864,C,24.43   ,24,43, ,"Производство свинца, цинка и олова                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
865,C,24.43.1 ,24,43,1,Производство свинца                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
866,C,24.43.2 ,24,43,2,Производство цинка                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
867,C,24.43.3 ,24,43,3,Производство олова                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
868,C,24.44   ,24,44, ,Производство меди                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
869,C,24.45   ,24,45, ,Производство прочих цветных металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
870,C,24.45.1 ,24,45,1,Производство никеля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
871,C,24.45.2 ,24,45,2,Производство титана                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
872,C,24.45.3 ,24,45,3,Производство магния                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
873,C,24.45.4 ,24,45,4,Производство вольфрама                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
874,C,24.45.5 ,24,45,5,Производство молибдена                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
875,C,24.45.6 ,24,45,6,Производство кобальта                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
876,C,24.45.7 ,24,45,7,Производство хрома                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
877,C,24.45.8 ,24,45,8,Производство марганца                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
878,C,24.45.9 ,24,45,9,"Производство редких (тантал, ниобий, галлий, германий, иридий) и редкоземельных металлов                                                                                                                                                                                                                                                                                                                                                                                                                            "
879,C,24.46   ,24,46, ,Производство ядерного топлива                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
880,C,24.5    ,24,5 , ,Литье металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
881,C,24.51   ,24,51, ,Литье чугуна                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
882,C,24.52   ,24,52, ,Литье стали                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
883,C,24.53   ,24,53, ,Литье легких металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
884,C,24.54   ,24,54, ,Литье прочих цветных металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
885,C,25      ,25,  , ,"Производство готовых металлических изделий, кроме машин и оборудования                                                                                                                                                                                                                                                                                                                                                                                                                                              "
886,C,25.1    ,25,1 , ,Производство строительных металлических конструкций и изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                       
887,C,25.11   ,25,11, ,"Производство строительных металлических конструкций, изделий и их частей                                                                                                                                                                                                                                                                                                                                                                                                                                            "
888,C,25.12   ,25,12, ,Производство металлических дверей и окон                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
889,C,25.2    ,25,2 , ,"Производство металлических цистерн, резервуаров и прочих емкостей                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
890,C,25.21   ,25,21, ,Производство радиаторов и котлов центрального отопления                                                                                                                                                                                                                                                                                                                                                                                                                                                             
891,C,25.21.1 ,25,21,1,Производство радиаторов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
892,C,25.21.2 ,25,21,2,Производство котлов центрального отопления                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
893,C,25.29   ,25,29, ,"Производство прочих металлических цистерн, резервуаров и емкостей                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
894,C,25.3    ,25,3 , ,"Производство паровых котлов, кроме котлов центрального отопления                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
895,C,25.30   ,25,30, ,"Производство паровых котлов, кроме котлов центрального отопления                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
896,C,25.30.1 ,25,30,1,Производство паровых котлов и их частей                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
897,C,25.30.2 ,25,30,2,"Производство ядерных установок и их составных частей, в том числе для транспортных средств                                                                                                                                                                                                                                                                                                                                                                                                                          "
898,C,25.30.21,25,30,2,"Производство ядерных установок, кроме устройств для разделения изотопов                                                                                                                                                                                                                                                                                                                                                                                                                                             "
899,C,25.30.22,25,30,2,"Производство частей ядерных установок, кроме устройств для разделения изотопов                                                                                                                                                                                                                                                                                                                                                                                                                                      "
900,C,25.4    ,25,4 , ,Производство оружия и боеприпасов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
901,C,25.40   ,25,40, ,Производство оружия и боеприпасов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
902,C,25.5    ,25,5 , ,"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии                                                                                                                                                                                                                                                                                                                                                                                                                 "
903,C,25.50   ,25,50, ,"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии                                                                                                                                                                                                                                                                                                                                                                                                                 "
904,C,25.50.1 ,25,50,1,"Предоставление услуг по ковке, прессованию, объемной и листовой штамповке и профилированию листового металла                                                                                                                                                                                                                                                                                                                                                                                                        "
905,C,25.50.2 ,25,50,2,Предоставление услуг по производству изделий методом порошковой металлургии                                                                                                                                                                                                                                                                                                                                                                                                                                         
906,C,25.6    ,25,6 , ,Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов                                                                                                                                                                                                                                                                                                                                                                                                                                 
907,C,25.61   ,25,61, ,Обработка металлов и нанесение покрытий на металлы                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
908,C,25.62   ,25,62, ,Обработка металлических изделий механическая                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
909,C,25.7    ,25,7 , ,"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий                                                                                                                                                                                                                                                                                                                                                                                                                     "
910,C,25.71   ,25,71, ,Производство ножевых изделий и столовых приборов                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
911,C,25.72   ,25,72, ,"Производство замков, петель                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
912,C,25.73   ,25,73, ,Производство инструмента                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
913,C,25.9    ,25,9 , ,Производство прочих готовых металлических изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
914,C,25.91   ,25,91, ,Производство металлических бочек и аналогичных емкостей                                                                                                                                                                                                                                                                                                                                                                                                                                                             
915,C,25.92   ,25,92, ,Производство тары из легких металлов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
916,C,25.93   ,25,93, ,"Производство изделий из проволоки, цепей и пружин                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
917,C,25.93.1 ,25,93,1,Производство изделий из проволоки и пружин                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
918,C,25.93.2 ,25,93,2,"Производство цепей, кроме шарнирных, и составных частей к ним                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
919,C,25.94   ,25,94, ,Производство крепежных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
920,C,25.99   ,25,99, ,"Производство прочих готовых металлических изделий, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                               "
921,C,25.99.1 ,25,99,1,Производство металлических изделий для ванных комнат и кухни                                                                                                                                                                                                                                                                                                                                                                                                                                                        
922,C,25.99.11,25,99,1,"Производство раковин, моек, ванн и прочих санитарно-технических изделий и их составных частей из черных металлов, меди или алюминия                                                                                                                                                                                                                                                                                                                                                                                 "
923,C,25.99.12,25,99,1,"Производство столовых, кухонных и прочих бытовых изделий, кроме столовых и кухонных приборов, и их составных частей из черных металлов, меди или алюминия                                                                                                                                                                                                                                                                                                                                                           "
924,C,25.99.2 ,25,99,2,Производство прочих металлических изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
925,C,25.99.21,25,99,2,"Производство бронированных или армированных сейфов, несгораемых шкафов и дверей                                                                                                                                                                                                                                                                                                                                                                                                                                     "
926,C,25.99.22,25,99,2,"Производство канцелярского настольного оборудования (ящиков, картотек, лотков и т. п.) из недрагоценных металлов                                                                                                                                                                                                                                                                                                                                                                                                    "
927,C,25.99.23,25,99,2,Производство деталей для скоросшивателей или папок; канцелярских принадлежностей и скоб в виде полос из недрагоценных металлов                                                                                                                                                                                                                                                                                                                                                                                      
928,C,25.99.24,25,99,2,"Производство статуэток, рам для фотографий, картин, зеркал и прочих декоративных изделий из недрагоценных металлов                                                                                                                                                                                                                                                                                                                                                                                                  "
929,C,25.99.25,25,99,2,"Производство фурнитуры из недрагоценных металлов для одежды, обуви, кожгалантереи и прочих изделий, в том числе крючков, пряжек, застежек, петелек, колечек, трубчатых и раздвоенных заклепок и др.                                                                                                                                                                                                                                                                                                                 "
930,C,25.99.26,25,99,2,Производство судовых гребных винтов и гребных колес                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
931,C,25.99.27,25,99,2,Производство металлических изделий для области использования атомной энергии                                                                                                                                                                                                                                                                                                                                                                                                                                        
932,C,25.99.29,25,99,2,"Производство прочих изделий из недрагоценных металлов, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                           "
933,C,25.99.3 ,25,99,3,Изготовление готовых металлических изделий хозяйственного назначения по индивидуальному заказу населения                                                                                                                                                                                                                                                                                                                                                                                                            
934,C,26      ,26,  , ,"Производство компьютеров, электронных и оптических изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
935,C,26.1    ,26,1 , ,Производство элементов электронной аппаратуры и печатных схем (плат)                                                                                                                                                                                                                                                                                                                                                                                                                                                
936,C,26.11   ,26,11, ,Производство элементов электронной аппаратуры                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
937,C,26.11.1 ,26,11,1,Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов                                                                                                                                                                                                                                                                                                                                                                                                                            
